frequency,Real(Z),Imag(Z)
6.31E+1,6.39E+4,1.12E+3
5.75E+1,6.42E+4,1.02E+3
5.25E+1,6.35E+4,2.42E+3
4.79E+1,6.39E+4,3.22E+2
4.37E+1,6.43E+4,1.67E+3
3.98E+1,6.42E+4,1.70E+3
3.63E+1,6.46E+4,1.88E+3
3.31E+1,6.44E+4,1.99E+3
3.02E+1,6.44E+4,2.18E+3
2.75E+1,6.45E+4,2.41E+3
2.51E+1,6.47E+4,2.54E+3
2.29E+1,6.47E+4,2.83E+3
2.09E+1,6.49E+4,3.03E+3
1.91E+1,6.50E+4,3.30E+3
1.74E+1,6.51E+4,3.58E+3
1.58E+1,6.52E+4,3.81E+3
1.45E+1,6.56E+4,4.16E+3
1.32E+1,6.58E+4,4.49E+3
1.20E+1,6.60E+4,4.88E+3
1.10E+1,6.61E+4,5.08E+3
1.00E+1,6.65E+4,5.48E+3
9.12E+0,6.67E+4,5.80E+3
8.32E+0,6.71E+4,6.09E+3
7.59E+0,6.74E+4,6.49E+3
6.92E+0,6.78E+4,6.87E+3
6.31E+0,6.83E+4,7.24E+3
5.75E+0,6.87E+4,7.61E+3
5.25E+0,6.92E+4,7.99E+3
4.79E+0,6.97E+4,8.45E+3
4.37E+0,7.03E+4,8.86E+3
3.98E+0,7.08E+4,9.23E+3
3.63E+0,7.15E+4,9.64E+3
3.31E+0,7.21E+4,1.00E+4
3.02E+0,7.26E+4,1.04E+4
2.75E+0,7.35E+4,1.09E+4
2.51E+0,7.42E+4,1.13E+4
2.29E+0,7.48E+4,1.16E+4
2.09E+0,7.57E+4,1.20E+4
1.91E+0,7.65E+4,1.23E+4
1.74E+0,7.75E+4,1.27E+4
1.58E+0,7.83E+4,1.31E+4
1.45E+0,7.92E+4,1.35E+4
1.32E+0,8.02E+4,1.37E+4
1.20E+0,8.11E+4,1.41E+4
1.10E+0,8.22E+4,1.44E+4
1.00E+0,8.32E+4,1.47E+4
